Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Apr,1703,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Apr,2128,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Apr,2252,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Apr,940,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Apr,1010,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Apr,1010,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Apr,1212,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Apr,1715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Apr,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Apr,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Apr,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Apr,1030,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Apr,1330,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Apr,1330,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Apr,1150,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Apr,1754,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
1,Apr,1900,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Apr,659,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Apr,1431,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
1,Apr,1504,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Goods vehicle 3.5 tonnes mgw and under
2,Apr,1540,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
1,Apr,1640,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Apr,1635,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Apr,2310,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Taxi/Private hire car
1,Apr,1142,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
3,Apr,1555,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Apr,1754,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Apr,1720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Apr,1833,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Apr,1223,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Apr,915,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
1,Apr,900,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Apr,1124,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Apr,1607,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Apr,1445,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Apr,815,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,Apr,815,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,Apr,1515,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Apr,1825,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,Apr,1929,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,535,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,635,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
5,May,1105,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
5,May,1105,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,1415,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1325,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,May,1954,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,May,610,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,May,1620,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,May,15,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,May,15,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
1,May,110,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
1,May,1622,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,MIDDLE-AGED,Other Vehicle
2,May,1818,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
1,May,1500,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,May,1500,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,May,1707,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,May,850,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,May,850,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,1100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
2,May,1145,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1320,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,May,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Fatal,Male,MIDDLE-AGED,Motorcycle over 500cc
2,May,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Motorcycle over 500cc
1,May,200,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,MIDDLE-AGED,Taxi/Private hire car
2,May,840,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
3,May,1000,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,YOUNG,Car
3,May,1000,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,May,1715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
1,May,1700,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,May,1810,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,May,1835,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
5,May,804,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
5,May,804,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
5,May,804,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
5,May,804,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,May,845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1315,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,May,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,May,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
1,May,2055,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,May,925,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,May,1301,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,May,1709,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,May,1745,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,2130,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,2130,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,May,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,May,1700,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,YOUNG,Car
3,May,2045,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,May,1324,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,May,1529,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,May,1529,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,May,1638,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,May,2020,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,2020,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,May,2020,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Taxi/Private hire car
2,May,2020,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Taxi/Private hire car
1,May,32,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,May,1255,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,YOUNG,Car
2,May,1355,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
3,May,802,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1240,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1240,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,May,1400,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Other Vehicle
2,May,1910,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1737,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
2,May,841,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,May,1437,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,1751,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,May,1750,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,659,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,May,739,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
1,May,1310,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Other Vehicle
2,May,852,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,May,755,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,1442,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,May,1720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,May,112,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
1,May,217,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,May,959,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
2,May,1149,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
1,May,1541,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Bus or coach (17 or more passenger seats)
2,May,1743,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,May,1910,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,2134,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,2134,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Pedal cycle
1,May,1015,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,May,1315,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,1406,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1406,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,1855,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,M/cycle 50cc and under
2,May,1855,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,May,1503,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,May,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
1,May,1339,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,May,1339,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
1,May,1339,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,May,1920,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,May,1630,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,May,1635,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,May,2355,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,May,1340,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,1340,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,May,1652,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
3,May,1652,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,848,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,843,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,May,911,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,May,911,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,May,1126,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
2,May,1309,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,May,1315,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1315,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Bus or coach (17 or more passenger seats)
2,May,1351,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
1,May,1546,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,May,1705,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,May,850,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,May,1635,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,May,1705,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
1,May,1800,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,May,2031,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,May,2031,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,May,1422,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,May,1422,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
4,May,1623,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
5,May,1625,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
5,May,1625,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
5,May,1625,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,May,1902,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,MIDDLE-AGED,Car
3,May,1902,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,SENIOR CITIZEN,Car
3,May,1920,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,May,2135,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
2,May,2135,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver/Rider,Slight,Male,YOUNG,Car
2,May,2135,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,14,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,725,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,750,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,May,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,May,1541,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,M/cycle 50cc and under
2,May,1541,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,May,1648,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,May,1648,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
1,May,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,M/cycle 50cc and under
2,May,820,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
1,May,1557,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
4,May,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
4,May,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
4,May,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,May,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
6,May,932,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
1,May,1340,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,May,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
2,May,2100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,May,536,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,May,915,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1258,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,May,1400,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,May,2100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,May,2100,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,May,2100,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,Car
2,May,1559,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,May,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,May,2250,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
1,May,351,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,May,1026,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,May,1053,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,May,1216,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,May,30,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,May,1600,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,YOUNG,Goods vehicle 3.5 tonnes mgw and under
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
