Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,07-Jan-15,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,22,Car
1,08-Jan-15,1115,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,63,Car
1,08-Jan-15,1416,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,89,Car
2,08-Jan-15,1659,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
2,08-Jan-15,1715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,09-Jan-15,655,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
1,09-Jan-15,737,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,58,Car
1,09-Jan-15,1110,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Car
2,09-Jan-15,1524,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,23,Car
2,09-Jan-15,1539,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Car
2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,09-Jan-15,1539,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
1,10-Jan-15,820,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Fatal,Male,61,Goods vehicle 3.5 tonnes mgw and under
2,10-Jan-15,1011,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,M/cycle 50cc and under
1,10-Jan-15,1130,A,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,30,Car
1,09-Jan-15,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,34,Car
2,10-Jan-15,1541,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
2,10-Jan-15,1541,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
1,10-Jan-15,1558,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Female,83,Car
2,10-Jan-15,1605,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Car
2,10-Jan-15,2154,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,54,Car
2,10-Jan-15,2154,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,21,Car
1,11-Jan-15,1817,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,29,Car
2,11-Jan-15,1830,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,27,Car
2,11-Jan-15,1830,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Female,26,Car
1,12-Jan-15,745,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2,12-Jan-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Car
3,12-Jan-15,944,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
2,13-Jan-15,915,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,54,Car
2,12-Jan-15,1354,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Pedal cycle
2,12-Jan-15,1500,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
2,12-Jan-15,1740,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
3,13-Jan-15,828,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
1,13-Jan-15,925,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
1,13-Jan-15,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,25,Car
1,13-Jan-15,1525,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Motorcycle over 50cc and up to 125cc
2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,5,Car
2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,32,Car
2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,53,Car
2,13-Jan-15,1800,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,36,Car
2,13-Jan-15,1800,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,32,Car
2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,3,Car
2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,9,Car
2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Car
2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,62,Car
1,13-Jan-15,2320,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,48,Motorcycle over 50cc and up to 125cc
2,14-Jan-15,844,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,62,Car
2,14-Jan-15,844,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,61,Car
2,14-Jan-15,1114,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,14-Jan-15,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under
2,14-Jan-15,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Bus or coach (17 or more passenger seats)
5,14-Jan-15,1349,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,86,Car
2,14-Jan-15,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
1,14-Jan-15,1640,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,41,Car
2,14-Jan-15,1925,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,14-Jan-15,1925,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,38,Car
1,14-Jan-15,2025,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Pedestrian,Slight,Male,34,Taxi/Private hire car
1,15-Jan-15,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Goods vehicle 7.5 tonnes mgw and over
2,15-Jan-15,829,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Car
2,15-Jan-15,829,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
2,15-Jan-15,1600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
2,15-Jan-15,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
2,16-Jan-15,717,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,15,Car
6,16-Jan-15,810,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
6,16-Jan-15,810,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
