Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,03-Mar-15,825,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,43,Taxi/Private hire car
3,02-Mar-15,1120,A,Snow,Daylight: street lights present,Snowing with high winds,Driver/Rider,Slight,Female,60,Car
3,02-Mar-15,1120,A,Snow,Daylight: street lights present,Snowing with high winds,Passenger,Serious,Female,34,Car
3,02-Mar-15,1120,A,Snow,Daylight: street lights present,Snowing with high winds,Driver/Rider,Slight,Male,80,Car
3,02-Mar-15,1120,A,Snow,Daylight: street lights present,Snowing with high winds,Driver/Rider,Slight,Male,44,Car
2,02-Mar-15,1241,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
2,02-Mar-15,1241,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,91,Taxi/Private hire car
1,02-Mar-15,1930,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,59,Goods vehicle 3.5 tonnes mgw and under
5,03-Mar-15,909,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,19,Car
2,03-Mar-15,940,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,03-Mar-15,1303,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,42,Car
2,03-Mar-15,1303,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,83,Car
2,03-Mar-15,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Car
2,03-Mar-15,1636,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Motorcycle over 50cc and up to 125cc
3,04-Mar-15,708,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,62,Car
3,04-Mar-15,708,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,03-Mar-15,1535,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,57,Car
3,04-Mar-15,1105,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,82,Car
2,04-Mar-15,1645,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Pedal cycle
2,04-Mar-15,1752,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2,04-Mar-15,2216,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,50,Motorcycle over 50cc and up to 125cc
2,04-Mar-15,2245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
3,05-Mar-15,935,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Pedal cycle
3,05-Mar-15,935,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Pedal cycle
2,05-Mar-15,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
1,05-Mar-15,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,05-Mar-15,1810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,60,Car
1,05-Mar-15,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,34,Bus or coach (17 or more passenger seats)
2,05-Mar-15,2150,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2,06-Mar-15,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2,06-Mar-15,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Taxi/Private hire car
2,06-Mar-15,1138,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,21,Car
2,06-Mar-15,1138,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Car
1,06-Mar-15,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,3,Car
2,06-Mar-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under
2,06-Mar-15,1926,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
1,06-Mar-15,1930,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,20,Car
1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,21,Car
1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,14,Car
1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,13,Car
1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,15,Car
1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,14,Car
2,07-Mar-15,1700,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,29,Motorcycle over 125cc and up to 500cc
1,07-Mar-15,1145,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats)
2,08-Mar-15,1320,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,46,Car
2,08-Mar-15,2135,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2,09-Mar-15,1525,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Pedal cycle
2,09-Mar-15,2020,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,49,Car
4,09-Mar-15,2316,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,40,Car
2,10-Mar-15,728,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
2,10-Mar-15,1115,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Goods vehicle 3.5 tonnes mgw and under
2,10-Mar-15,1625,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
2,10-Mar-15,1740,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2,10-Mar-15,1750,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
2,10-Mar-15,1835,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Motorcycle over 500cc
1,10-Mar-15,1905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,32,Taxi/Private hire car
2,10-Mar-15,1928,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,37,Car
2,10-Mar-15,1928,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,42,Car
1,10-Mar-15,2128,B,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,18,Car
2,11-Mar-15,700,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under
2,11-Mar-15,1110,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
1,11-Mar-15,1142,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car
1,11-Mar-15,1313,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Pedal cycle
1,12-Mar-15,1035,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 125cc and up to 500cc
2,12-Mar-15,1133,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,12-Mar-15,1220,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,52,Car
2,12-Mar-15,1220,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Car
2,12-Mar-15,1833,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,43,Car
2,12-Mar-15,1833,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,43,Car
1,13-Mar-15,1216,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Bus or coach (17 or more passenger seats)
1,13-Mar-15,1549,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car
3,13-Mar-15,1702,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
3,13-Mar-15,1702,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,13-Mar-15,1933,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,15,M/cycle 50cc and under
1,13-Mar-15,1950,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,30,Taxi/Private hire car
2,14-Mar-15,1220,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
4,13-Mar-15,928,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
2,14-Mar-15,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2,14-Mar-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,38,Car
2,15-Mar-15,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,72,Car
2,16-Mar-15,721,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Motorcycle over 500cc
1,14-Mar-15,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Taxi/Private hire car
2,16-Mar-15,1855,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,54,Car
2,16-Mar-15,1855,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,64,Car
3,16-Mar-15,2210,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,66,Car
3,16-Mar-15,2210,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2,17-Mar-15,725,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
3,17-Mar-15,825,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Pedal cycle
1,18-Mar-15,905,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
2,17-Mar-15,1053,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
2,17-Mar-15,1302,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Motorcycle over 500cc
1,18-Mar-15,1534,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,49,Car
1,19-Mar-15,336,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,48,Goods vehicle 3.5 tonnes mgw and under
2,19-Mar-15,1639,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Pedal cycle
1,19-Mar-15,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,6,Car
2,19-Mar-15,1840,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,23,Motorcycle over 50cc and up to 125cc
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,14,Car
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,14,Car
2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,20-Mar-15,1440,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
1,20-Mar-15,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,2,Car
2,20-Mar-15,1720,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
1,20-Mar-15,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,75,Car
1,20-Mar-15,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,55,Car
2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under
2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,20,Car
1,21-Mar-15,1107,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
2,21-Mar-15,2100,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,74,Car
1,21-Mar-15,2205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,39,Car
2,20-Mar-15,1645,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
2,22-Mar-15,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,60,Motorcycle over 500cc
2,23-Mar-15,1035,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Pedal cycle
2,23-Mar-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Pedal cycle
2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
2,23-Mar-15,1350,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
1,23-Mar-15,30,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,24,Car
2,24-Mar-15,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,26,Car
2,24-Mar-15,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Car
2,24-Mar-15,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
3,24-Mar-15,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2,29-Mar-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,69,Car
2,25-Mar-15,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2,25-Mar-15,1307,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Taxi/Private hire car
2,25-Mar-15,1307,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
1,25-Mar-15,1315,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,86,Car
2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car
2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
1,26-Mar-15,1652,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,67,Taxi/Private hire car
2,25-Mar-15,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
2,26-Mar-15,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
2,26-Mar-15,1200,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Pedal cycle
3,26-Mar-15,1407,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
1,26-Mar-15,1455,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,19,Car
2,26-Mar-15,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2,27-Mar-15,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,35,Motorcycle over 50cc and up to 125cc
2,27-Mar-15,748,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Motorcycle over 125cc and up to 500cc
2,27-Mar-15,748,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Male,68,Car
2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,71,Car
2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,73,Car
2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,21,Car
2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,19,Car
2,28-Mar-15,1015,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,25,Motorcycle over 125cc and up to 500cc
2,28-Mar-15,1209,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
2,28-Mar-15,1209,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,48,Car
3,28-Mar-15,1319,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
1,28-Mar-15,1630,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,16,Motorcycle over 500cc
2,28-Mar-15,2015,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Motorcycle over 500cc
2,28-Mar-15,2015,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,29,Motorcycle over 500cc
2,28-Mar-15,2057,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,39,Car
2,28-Mar-15,2057,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,39,Car
2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,18,Car
2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,2,Car
2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,30,Car
2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,25,Car
2,29-Mar-15,1215,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,19,Pedal cycle
2,29-Mar-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
2,29-Mar-15,1620,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,4,Pedal cycle
2,29-Mar-15,2241,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,16,Pedal cycle
1,30-Mar-15,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Car
2,30-Mar-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Pedal cycle
2,30-Mar-15,1110,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under
2,30-Mar-15,1825,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,56,Pedal cycle
2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,47,Car
2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,23,Car
2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,15,Car
2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,18,Car
1,31-Mar-15,224,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,41,Car
1,31-Mar-15,224,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,39,Car
2,30-Mar-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,31,Pedal cycle
2,10-Mar-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Pedal cycle
1,31-Mar-15,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,39,Car
2,31-Mar-15,1935,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Serious,Male,54,Car
2,31-Mar-15,2010,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,32,Car
1,01-Apr-15,837,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,29,Car
2,01-Apr-15,918,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,01-Apr-15,720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,36,Car
1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,6,Car
1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,3,Car
1,01-Apr-15,1229,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,75,Car
3,01-Apr-15,1311,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,25,Car
3,01-Apr-15,1311,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,19,Car
2,01-Apr-15,1710,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,01-Apr-15,1829,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,44,Car
2,01-Apr-15,1829,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,8,Car
3,01-Apr-15,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
3,01-Apr-15,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
2,02-Apr-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
1,02-Apr-15,848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,20,Car
2,01-Apr-15,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
2,02-Apr-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
2,02-Apr-15,2030,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
1,02-Apr-15,2100,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,48,Car
2,03-Apr-15,1236,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Car
2,04-Apr-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,46,Car
2,05-Apr-15,915,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Pedal cycle
1,05-Apr-15,300,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,29,Taxi/Private hire car
3,06-Apr-15,1435,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
1,06-Apr-15,1545,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Car
2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,66,Car
2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Car
2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car
2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car
2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
3,06-Apr-15,1904,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
3,06-Apr-15,1904,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car
2,06-Apr-15,2035,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,06-Apr-15,2335,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,40,Car
2,06-Apr-15,2335,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,34,Car
